year_month,variable,value
2019-03,action figure,54
2019-04,action figure,57
2019-05,action figure,55
2019-06,action figure,54
2019-07,action figure,58
2019-08,action figure,54
2019-09,action figure,55
2019-10,action figure,51
2019-11,action figure,69
2019-12,action figure,88
2020-01,action figure,56
2019-03,air hockey,39
2019-04,air hockey,28
2019-05,air hockey,26
2019-06,air hockey,30
2019-07,air hockey,27
2019-08,air hockey,26
2019-09,air hockey,31
2019-10,air hockey,41
2019-11,air hockey,70
2019-12,air hockey,88
2020-01,air hockey,41
2019-03,air sports,78
2019-04,air sports,59
2019-05,air sports,57
2019-06,air sports,71
2019-07,air sports,75
2019-08,air sports,69
2019-09,air sports,52
2019-10,air sports,61
2019-11,air sports,82
2019-12,air sports,100
2020-01,air sports,77
2019-03,airsoft,50
2019-04,airsoft,47
2019-05,airsoft,45
2019-06,airsoft,49
2019-07,airsoft,50
2019-08,airsoft,44
2019-09,airsoft,39
2019-10,airsoft,39
2019-11,airsoft,52
2019-12,airsoft,53
2020-01,airsoft,51
2019-03,amusement park,47
2019-04,amusement park,54
2019-05,amusement park,60
2019-06,amusement park,85
2019-07,amusement park,97
2019-08,amusement park,70
2019-09,amusement park,42
2019-10,amusement park,37
2019-11,amusement park,29
2019-12,amusement park,30
2020-01,amusement park,35
2019-03,antiquing,68
2019-04,antiquing,52
2019-05,antiquing,54
2019-06,antiquing,83
2019-07,antiquing,58
2019-08,antiquing,59
2019-09,antiquing,51
2019-10,antiquing,36
2019-11,antiquing,61
2019-12,antiquing,59
2020-01,antiquing,49
2019-03,archery,50
2019-04,archery,43
2019-05,archery,48
2019-06,archery,50
2019-07,archery,55
2019-08,archery,65
2019-09,archery,66
2019-10,archery,61
2019-11,archery,59
2019-12,archery,54
2020-01,archery,56
2019-03,association football,23
2019-04,association football,20
2019-05,association football,20
2019-06,association football,20
2019-07,association football,26
2019-08,association football,46
2019-09,association football,67
2019-10,association football,55
2019-11,association football,48
2019-12,association football,33
2020-01,association football,28
2019-03,astronomy,54
2019-04,astronomy,63
2019-05,astronomy,54
2019-06,astronomy,41
2019-07,astronomy,36
2019-08,astronomy,56
2019-09,astronomy,72
2019-10,astronomy,67
2019-11,astronomy,58
2019-12,astronomy,57
2020-01,astronomy,63
2019-03,audiophile,70
2019-04,audiophile,61
2019-05,audiophile,53
2019-06,audiophile,47
2019-07,audiophile,65
2019-08,audiophile,50
2019-09,audiophile,54
2019-10,audiophile,56
2019-11,audiophile,63
2019-12,audiophile,71
2020-01,audiophile,58
