year_month,variable,value
2020-03,action figure,46
2020-04,action figure,62
2020-05,action figure,64
2020-06,action figure,59
2020-07,action figure,62
2020-08,action figure,61
2020-09,action figure,60
2020-10,action figure,62
2020-11,action figure,74
2020-12,action figure,100
2021-01,action figure,67
2021-02,action figure,72
2021-03,action figure,67
2021-04,action figure,68
2021-05,action figure,64
2021-06,action figure,65
2021-07,action figure,65
2021-08,action figure,66
2021-09,action figure,63
2021-10,action figure,64
2020-03,air hockey,28
2020-04,air hockey,27
2020-05,air hockey,23
2020-06,air hockey,27
2020-07,air hockey,28
2020-08,air hockey,28
2020-09,air hockey,31
2020-10,air hockey,34
2020-11,air hockey,67
2020-12,air hockey,76
2021-01,air hockey,37
2021-02,air hockey,31
2021-03,air hockey,32
2021-04,air hockey,30
2021-05,air hockey,26
2021-06,air hockey,26
2021-07,air hockey,31
2021-08,air hockey,30
2021-09,air hockey,27
2021-10,air hockey,35
2020-03,air sports,57
2020-04,air sports,52
2020-05,air sports,63
2020-06,air sports,70
2020-07,air sports,70
2020-08,air sports,61
2020-09,air sports,67
2020-10,air sports,65
2020-11,air sports,66
2020-12,air sports,93
2021-01,air sports,68
2021-02,air sports,61
2021-03,air sports,80
2021-04,air sports,87
2021-05,air sports,64
2021-06,air sports,74
2021-07,air sports,76
2021-08,air sports,79
2021-09,air sports,62
2021-10,air sports,66
2020-03,airsoft,55
2020-04,airsoft,65
2020-05,airsoft,72
2020-06,airsoft,72
2020-07,airsoft,64
2020-08,airsoft,66
2020-09,airsoft,71
2020-10,airsoft,65
2020-11,airsoft,63
2020-12,airsoft,77
2021-01,airsoft,70
2021-02,airsoft,63
2021-03,airsoft,68
2021-04,airsoft,69
2021-05,airsoft,66
2021-06,airsoft,66
2021-07,airsoft,68
2021-08,airsoft,63
2021-09,airsoft,59
2021-10,airsoft,64
2020-03,amusement park,26
2020-04,amusement park,23
2020-05,amusement park,30
2020-06,amusement park,45
2020-07,amusement park,48
2020-08,amusement park,40
2020-09,amusement park,35
2020-10,amusement park,31
2020-11,amusement park,23
2020-12,amusement park,21
2021-01,amusement park,27
2021-02,amusement park,30
2021-03,amusement park,44
2021-04,amusement park,49
2021-05,amusement park,68
2021-06,amusement park,85
2021-07,amusement park,97
2021-08,amusement park,71
2021-09,amusement park,47
2021-10,amusement park,40
2020-03,antiquing,36
2020-04,antiquing,43
2020-05,antiquing,73
2020-06,antiquing,70
2020-07,antiquing,58
2020-08,antiquing,80
2020-09,antiquing,56
2020-10,antiquing,73
2020-11,antiquing,66
2020-12,antiquing,43
2021-01,antiquing,57
2021-02,antiquing,59
2021-03,antiquing,63
2021-04,antiquing,69
2021-05,antiquing,67
2021-06,antiquing,68
2021-07,antiquing,70
2021-08,antiquing,87
2021-09,antiquing,65
2021-10,antiquing,66
2020-03,archery,43
2020-04,archery,38
2020-05,archery,41
2020-06,archery,45
2020-07,archery,55
2020-08,archery,64
2020-09,archery,69
2020-10,archery,62
2020-11,archery,57
2020-12,archery,54
2021-01,archery,52
2021-02,archery,45
2021-03,archery,47
2021-04,archery,42
2021-05,archery,42
2021-06,archery,43
2021-07,archery,77
2021-08,archery,67
2021-09,archery,68
2021-10,archery,61
2020-03,association football,15
2020-04,association football,11
2020-05,association football,11
2020-06,association football,17
2020-07,association football,28
2020-08,association football,28
2020-09,association football,27
2020-10,association football,26
2020-11,association football,23
2020-12,association football,16
2021-01,association football,19
2021-02,association football,11
2021-03,association football,16
2021-04,association football,14
2021-05,association football,15
2021-06,association football,20
2021-07,association football,20
2021-08,association football,28
2021-09,association football,39
2021-10,association football,39
2020-03,astronomy,48
2020-04,astronomy,57
2020-05,astronomy,51
2020-06,astronomy,41
2020-07,astronomy,47
2020-08,astronomy,54
2020-09,astronomy,78
2020-10,astronomy,56
2020-11,astronomy,50
2020-12,astronomy,62
2021-01,astronomy,50
2021-02,astronomy,49
2021-03,astronomy,43
2021-04,astronomy,41
2021-05,astronomy,42
2021-06,astronomy,32
2021-07,astronomy,35
2021-08,astronomy,41
2021-09,astronomy,52
2021-10,astronomy,47
2020-03,audiophile,60
2020-04,audiophile,61
2020-05,audiophile,73
2020-06,audiophile,69
2020-07,audiophile,65
2020-08,audiophile,78
2020-09,audiophile,52
2020-10,audiophile,67
2020-11,audiophile,76
2020-12,audiophile,95
2021-01,audiophile,70
2021-02,audiophile,66
2021-03,audiophile,69
2021-04,audiophile,59
2021-05,audiophile,64
2021-06,audiophile,60
2021-07,audiophile,49
2021-08,audiophile,61
2021-09,audiophile,70
2021-10,audiophile,60
2020-03,australian rules football,100
2020-04,australian rules football,14
2020-05,australian rules football,20
2020-06,australian rules football,57
2020-07,australian rules football,79
2020-08,australian rules football,51
2020-09,australian rules football,34
2020-10,australian rules football,32
2020-11,australian rules football,19
2020-12,australian rules football,11
2021-01,australian rules football,16
2021-02,australian rules football,20
2021-03,australian rules football,16
2021-04,australian rules football,36
2021-05,australian rules football,30
2021-06,australian rules football,20
2021-07,australian rules football,47
2021-08,australian rules football,14
2021-09,australian rules football,27
2021-10,australian rules football,9
