variable,group,value
dancing,2019-01,32
dancing,2019-02,29
dancing,2019-03,29
dancing,2019-04,26
dancing,2019-05,28
dancing,2019-06,28
dancing,2019-07,27
dancing,2019-08,33
dancing,2019-09,39
dancing,2019-10,39
dancing,2019-11,40
dancing,2019-12,28
dancing,2020-01,28
dancing,2020-02,30
dancing,2020-03,24
dancing,2020-04,26
dancing,2020-05,23
dancing,2020-06,23
dancing,2020-07,24
dancing,2020-08,25
dancing,2020-09,46
dancing,2020-10,37
dancing,2020-11,36
dancing,2020-12,25
dancing,2021-01,23
dancing,2021-02,22
dancing,2021-03,23
dancing,2021-04,24
dancing,2021-05,23
dancing,2021-06,22
dancing,2021-07,22
dancing,2021-08,23
dancing,2021-09,36
dancing,2021-10,33
breadmaking,2019-01,11
breadmaking,2019-02,2
breadmaking,2019-03,6
breadmaking,2019-04,0
breadmaking,2019-05,4
breadmaking,2019-06,2
breadmaking,2019-07,0
breadmaking,2019-08,7
breadmaking,2019-09,0
breadmaking,2019-10,0
breadmaking,2019-11,2
breadmaking,2019-12,6
breadmaking,2020-01,10
breadmaking,2020-02,10
breadmaking,2020-03,7
breadmaking,2020-04,14
breadmaking,2020-05,11
breadmaking,2020-06,9
breadmaking,2020-07,2
breadmaking,2020-08,2
breadmaking,2020-09,6
breadmaking,2020-10,4
breadmaking,2020-11,4
breadmaking,2020-12,21
breadmaking,2021-01,8
breadmaking,2021-02,0
breadmaking,2021-03,0
breadmaking,2021-04,2
breadmaking,2021-05,7
breadmaking,2021-06,2
breadmaking,2021-07,6
breadmaking,2021-08,0
breadmaking,2021-09,2
breadmaking,2021-10,0
hobby tunneling,2019-01,0
hobby tunneling,2019-02,0
hobby tunneling,2019-03,0
hobby tunneling,2019-04,0
hobby tunneling,2019-05,0
hobby tunneling,2019-06,0
hobby tunneling,2019-07,0
hobby tunneling,2019-08,0
hobby tunneling,2019-09,0
hobby tunneling,2019-10,0
hobby tunneling,2019-11,0
hobby tunneling,2019-12,0
hobby tunneling,2020-01,0
hobby tunneling,2020-02,0
hobby tunneling,2020-03,0
hobby tunneling,2020-04,0
hobby tunneling,2020-05,0
hobby tunneling,2020-06,0
hobby tunneling,2020-07,0
hobby tunneling,2020-08,0
hobby tunneling,2020-09,0
hobby tunneling,2020-10,0
hobby tunneling,2020-11,0
hobby tunneling,2020-12,0
hobby tunneling,2021-01,0
hobby tunneling,2021-02,0
hobby tunneling,2021-03,14
hobby tunneling,2021-04,0
hobby tunneling,2021-05,0
hobby tunneling,2021-06,0
hobby tunneling,2021-07,0
hobby tunneling,2021-08,0
hobby tunneling,2021-09,0
hobby tunneling,2021-10,0
rugby,2019-01,17
rugby,2019-02,24
rugby,2019-03,24
rugby,2019-04,19
rugby,2019-05,17
rugby,2019-06,17
rugby,2019-07,29
rugby,2019-08,19
rugby,2019-09,52
rugby,2019-10,61
rugby,2019-11,29
rugby,2019-12,16
rugby,2020-01,17
rugby,2020-02,26
rugby,2020-03,17
rugby,2020-04,10
rugby,2020-05,10
rugby,2020-06,12
rugby,2020-07,12
rugby,2020-08,12
rugby,2020-09,12
rugby,2020-10,14
rugby,2020-11,13
rugby,2020-12,12
rugby,2021-01,11
rugby,2021-02,17
rugby,2021-03,17
rugby,2021-04,15
rugby,2021-05,16
rugby,2021-06,15
rugby,2021-07,32
rugby,2021-08,19
rugby,2021-09,18
rugby,2021-10,18
walking,2019-01,30
walking,2019-02,36
walking,2019-03,43
walking,2019-04,35
walking,2019-05,30
walking,2019-06,31
walking,2019-07,32
walking,2019-08,30
walking,2019-09,35
walking,2019-10,38
walking,2019-11,31
walking,2019-12,26
walking,2020-01,29
walking,2020-02,32
walking,2020-03,37
walking,2020-04,36
walking,2020-05,31
walking,2020-06,31
walking,2020-07,30
walking,2020-08,29
walking,2020-09,32
walking,2020-10,37
walking,2020-11,28
walking,2020-12,27
walking,2021-01,28
walking,2021-02,32
walking,2021-03,42
walking,2021-04,36
walking,2021-05,33
walking,2021-06,32
walking,2021-07,33
walking,2021-08,40
walking,2021-09,35
walking,2021-10,33
metalworking,2019-01,15
metalworking,2019-02,14
metalworking,2019-03,12
metalworking,2019-04,12
metalworking,2019-05,14
metalworking,2019-06,12
metalworking,2019-07,10
metalworking,2019-08,9
metalworking,2019-09,15
metalworking,2019-10,13
metalworking,2019-11,8
metalworking,2019-12,12
metalworking,2020-01,18
metalworking,2020-02,18
metalworking,2020-03,13
metalworking,2020-04,16
metalworking,2020-05,14
metalworking,2020-06,12
metalworking,2020-07,14
metalworking,2020-08,10
metalworking,2020-09,12
metalworking,2020-10,14
metalworking,2020-11,11
metalworking,2020-12,9
metalworking,2021-01,15
metalworking,2021-02,10
metalworking,2021-03,12
metalworking,2021-04,10
metalworking,2021-05,11
metalworking,2021-06,13
metalworking,2021-07,7
metalworking,2021-08,14
metalworking,2021-09,8
metalworking,2021-10,13
taxidermy,2019-01,60
taxidermy,2019-02,50
taxidermy,2019-03,48
taxidermy,2019-04,49
taxidermy,2019-05,44
taxidermy,2019-06,37
taxidermy,2019-07,44
taxidermy,2019-08,46
taxidermy,2019-09,51
taxidermy,2019-10,62
taxidermy,2019-11,97
taxidermy,2019-12,75
taxidermy,2020-01,66
taxidermy,2020-02,51
taxidermy,2020-03,38
taxidermy,2020-04,49
taxidermy,2020-05,47
