variable,group,value
dancing,2019-01,69.56521739130434
dancing,2019-02,63.04347826086956
dancing,2019-03,63.04347826086956
dancing,2019-04,56.52173913043478
dancing,2019-05,60.869565217391305
dancing,2019-06,60.869565217391305
dancing,2019-07,58.69565217391305
dancing,2019-08,71.73913043478261
dancing,2019-09,84.78260869565217
dancing,2019-10,84.78260869565217
dancing,2019-11,86.95652173913044
dancing,2019-12,60.869565217391305
dancing,2020-01,60.869565217391305
dancing,2020-02,65.21739130434783
dancing,2020-03,52.17391304347826
dancing,2020-04,56.52173913043478
dancing,2020-05,50.0
dancing,2020-06,50.0
dancing,2020-07,52.17391304347826
dancing,2020-08,54.34782608695652
dancing,2020-09,100.0
dancing,2020-10,80.43478260869566
dancing,2020-11,78.26086956521739
dancing,2020-12,54.34782608695652
dancing,2021-01,50.0
dancing,2021-02,47.82608695652174
dancing,2021-03,50.0
dancing,2021-04,52.17391304347826
dancing,2021-05,50.0
dancing,2021-06,47.82608695652174
dancing,2021-07,47.82608695652174
dancing,2021-08,50.0
dancing,2021-09,78.26086956521739
dancing,2021-10,71.73913043478261
breadmaking,2019-01,52.38095238095238
breadmaking,2019-02,9.523809523809524
breadmaking,2019-03,28.571428571428573
breadmaking,2019-04,0.0
breadmaking,2019-05,19.047619047619047
breadmaking,2019-06,9.523809523809524
breadmaking,2019-07,0.0
breadmaking,2019-08,33.333333333333336
breadmaking,2019-09,0.0
breadmaking,2019-10,0.0
breadmaking,2019-11,9.523809523809524
breadmaking,2019-12,28.571428571428573
breadmaking,2020-01,47.61904761904762
breadmaking,2020-02,47.61904761904762
breadmaking,2020-03,33.333333333333336
breadmaking,2020-04,66.66666666666667
breadmaking,2020-05,52.38095238095238
breadmaking,2020-06,42.857142857142854
breadmaking,2020-07,9.523809523809524
breadmaking,2020-08,9.523809523809524
breadmaking,2020-09,28.571428571428573
breadmaking,2020-10,19.047619047619047
breadmaking,2020-11,19.047619047619047
breadmaking,2020-12,100.0
breadmaking,2021-01,38.095238095238095
breadmaking,2021-02,0.0
breadmaking,2021-03,0.0
breadmaking,2021-04,9.523809523809524
breadmaking,2021-05,33.333333333333336
breadmaking,2021-06,9.523809523809524
breadmaking,2021-07,28.571428571428573
breadmaking,2021-08,0.0
breadmaking,2021-09,9.523809523809524
breadmaking,2021-10,0.0
hobby tunneling,2019-01,0.0
hobby tunneling,2019-02,0.0
hobby tunneling,2019-03,0.0
hobby tunneling,2019-04,0.0
hobby tunneling,2019-05,0.0
hobby tunneling,2019-06,0.0
hobby tunneling,2019-07,0.0
hobby tunneling,2019-08,0.0
hobby tunneling,2019-09,0.0
hobby tunneling,2019-10,0.0
hobby tunneling,2019-11,0.0
hobby tunneling,2019-12,0.0
hobby tunneling,2020-01,0.0
hobby tunneling,2020-02,0.0
hobby tunneling,2020-03,0.0
hobby tunneling,2020-04,0.0
hobby tunneling,2020-05,0.0
hobby tunneling,2020-06,0.0
hobby tunneling,2020-07,0.0
hobby tunneling,2020-08,0.0
hobby tunneling,2020-09,0.0
hobby tunneling,2020-10,0.0
hobby tunneling,2020-11,0.0
hobby tunneling,2020-12,0.0
hobby tunneling,2021-01,0.0
hobby tunneling,2021-02,0.0
hobby tunneling,2021-03,100.0
hobby tunneling,2021-04,0.0
hobby tunneling,2021-05,0.0
hobby tunneling,2021-06,0.0
hobby tunneling,2021-07,0.0
hobby tunneling,2021-08,0.0
hobby tunneling,2021-09,0.0
hobby tunneling,2021-10,0.0
rugby,2019-01,27.868852459016395
rugby,2019-02,39.34426229508197
rugby,2019-03,39.34426229508197
rugby,2019-04,31.147540983606557
rugby,2019-05,27.868852459016395
rugby,2019-06,27.868852459016395
rugby,2019-07,47.540983606557376
rugby,2019-08,31.147540983606557
rugby,2019-09,85.24590163934427
rugby,2019-10,100.0
rugby,2019-11,47.540983606557376
rugby,2019-12,26.229508196721312
